Item,Instruction_1,Instruction_2,Instruction_3,Category
lye,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
herbicides,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
hot/cold packs,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
guns,This type of waste is not accepted by the City of Toronto.,"If you find this item and it’s an emergency, call 911. If you’re turning it in, call the Toronto police non-emergency line at 416-808-2222. Do not take item to a police station.",,Not Accepted
household batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).","For safe storage, place used batteries back in packaging or cover the positive terminal with tape or place in a clear plastic bag (wrap many batteries together).","Take batteries to a City Drop-Off Depot or Community Environment Day. For HHW from 10-50 L/kg, you can request a free pickup online or by calling 311.",HHW
household cleaning products,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
household furnace fuel filters,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
hydrochloric acid,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
ice packs,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
insect repellents,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
insecticides,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
Javex bleach,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
kerosene,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
Krazy glue,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
lacquers,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
lacquer thinners,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
lamp oil,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
latex paints,"This Item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
lawn chemicals,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
lead acid battery/batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).","For safe storage, place used batteries back in packaging or cover the positive terminal with tape or place in a clear plastic bag (wrap many batteries together).","Take batteries to a City Drop-Off Depot or Community Environment Day. For HHW from 10-50 L/kg, you can request a free pickup online or by calling 311.",HHW
lighter fluid,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
liquid paper,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
lithium ion (Li-Ion) battery/batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).","For safe storage, place used batteries back in packaging or cover the positive terminal with tape or place in a clear plastic bag (wrap many batteries together).","Take batteries to a City Drop-Off Depot or Community Environment Day. For HHW from 10-50 L/kg, you can request a free pickup online or by calling 311.",HHW
firearms,This type of waste is not accepted by the City of Toronto.,"If you find this item and it’s an emergency, call 911. If you’re turning it in, call the Toronto police non-emergency line at 416-808-2222. Do not take item to a police station.",,Not Accepted
lubricants/lube,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
marine paints,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
